Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Scirpus acutus,Hardstem Bulrush,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/80fb844f-62f3-40b8-bc3d-728fac3cdbf0/HardstemBulrush.jpg?content-type=image%2Fjpeg,Benzene,N/A,N/A,"1) http://www.wallawallanursery.com/detail.cfm?gotopage=11&nid=2640&SearchGroup=grasses&SearchGen=&SearchVar=&SearchSPE=
 2) http://www.flickr.com/photos/33590535@N06/3574508714/ (Photo Source)",USDA Hardiness Zone 3-9,
Sedum,Sedum,,"Cadmium, Zinc","Tolerant, Hyperaccumulator","Phytoextraction, Phytoaccumulation","1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003
 2) (Phyto Textbook) Xing, Y., Peng, H., Gao, L., Luo, A., and Yang, X. 2013. A Compound Containing Substituted Indole Ligand from a Hyperaccumulator Sedum Alfredii Hance Under Zn Exposure. International Journal of Phytoremediation 15 (10), pp. 952-964. - Pan F, Meng Q, Luo S, et al. Enhanced Cd extraction of oilseed rape (Brassica napus) by plant growth-promoting bacteria isolated from Cd hyperaccumulator Sedum alfredii Hance. Int J Phytoremediation. 2017;19(3):281-289. doi:10.1080/15226514.2016.1225280
 3) (Phyto Textbook) Lu, L., Tian, S., Yang, X., Peng, H., and Li, T. 2013. Improved cadmium uptake and accumulation in the hyperaccumulator Sedum alfredii: the impact of citric acid and tartaric acid. Journal of Zhejang University Science B 14 (2), pp. 106-114.
 4) (Phyto Textbook) Wang, K., Huang, H., Zhu, Z., Li, T., He, Z., Yang, X., and Alva,",Groundcover. Hardiness Zone: 3-10,
Senecio salignus,Barkleyanthus,,Zinc,Accumulator,Phytoaccumulation,"(Phyto Textbook) Cortes-Jimenez, E., Mugica-Alvarez, V., Gonzalez-Chavez, M., Carrillo-Gonzalez, R., Gordillo, M., and Mier, M. 2013. Natural revegetation of alkaline tailing heaps at Taxco, Guerrero, Mexico. International Journal of Phytoremediatio15 (2), pp. 127-141.",,
Sesbania asper,Sesbania,,Metal,Hyperaccumulator,Phytoextraction,"Mishra T, Singh NB, Singh N. Restoration of red mud deposits by naturally growing vegetation. Int J Phytoremediation. 2017;19(5):439-445. doi:10.1080/15226514.2016.1244162",,
Sesbania punicea,Red Sesbania,,Metal,Hyperaccumulator,Phytoextraction,"Mishra T, Singh NB, Singh N. Restoration of red mud deposits by naturally growing vegetation. Int J Phytoremediation. 2017;19(5):439-445. doi:10.1080/15226514.2016.1244162",,
Sesuvium portulacastrum L.,Shoreline Purslane,,"Chromium, Cadmium, Zinc, Copper, Nacl",Accumulator,Phytoextraction,"Ayyappan D, Sathiyaraj G, Ravindran KC. Phytoextraction of heavy metals by Sesuvium portulacastrum l. a salt marsh halophyte from tannery effluent. Int J Phytoremediation. 2016;18(5):453-459. doi:10.1080/15226514.2015.1109606",,
Sida hermaphrodita,"Virginia Mallow, Virginia Fanpetals",,"Zinc, Lead, Chromium, Nickel, Copper, Zinc, Cadmium",Accumulator,Phytoextraction,"1) (Phyto Textbook) Kocon, A., and Matyka, M. 2012. Phytoextractive potential of Miscanthus giganteus and Sida hermaphrodita growing under moderate pollution of soil with Zn and Pb. Journal of Food, Agriculture and Environment 10 (2), pp. 1253-1256.
 2) Antonkiewicz J, Ko?odziej B, Bieli?ska EJ. Phytoextraction of heavy metals from municipal sewage sludge by Rosa multiflora and Sida hermaphrodita. Int J Phytoremediation. 2017;19(4):309-318. doi:10.1080/15226514.2016.1225283",,
Silene paradoxa,Caryophyllaceae,,"Arsenic, Cadmium, Cobalt, Chromium, Cobaltpper, Iron, Manganese, Nickel, Lead And Zinc",Accumulator,Phytostabilization,"(Phyto Textbook) Pignattelli, S., Colzi, I., Buccianti, A., Cecchi, L., Arnetoli, M., Monnanni, R., Gabbrielli, R., and Gonnelli, C. 2012. Exploring element accumulation patterns of a metal excluder plant naturally colonizing a highly contaminated soil. Journal of Hazardous Materials 227 pp. 362-369.",,
Silene vulgaris,Bladder Campion,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/74c72e69-b035-4454-a78a-0f9c98c3cf81/BladderCampion.jpg?content-type=image%2Fjpeg,"Cadmium, Zinc",N/A,"Phytostabilization, Phytoextraction","1) Oyler, J. Blue Mountain Superfund Remediation Project, Palmerton, PA. Powerpoint presentation. June 10, 2004. ITRC Phytotechnologies conference
 2) http://www.flickr.com/photos/esellers/5846184794/ (Photo Source)",Hardiness zone 1-10,
Silybum marianum,Milk Thistle,,Metal,Accumulator,Phytostabilization,"1) Hammami H, Alaie E, Dastgheib SMM. The ability of Silybum marianum to phytoremediate cadmium and/or diesel oil from the soil. Int J Phytoremediation. 2018;20(8):756-763. doi:10.1080/15226514.2018.1425664
 2) (Phyto Textbook) Perrino, E. V., Brunetti, G., and Farrag, K. 2013. Plant communities in multi-metal contaminated soils: a case study in the National Park of Alta Murgia (Apulia region-Southern Italy). International Journal of Phytoremediation 16, pp. 871-888.",,
Sinapis alba,White Mustard,,Cadmium,Accumulator,Phytoextraction,"Bulak P, Lata L, Plak A, et al. Electromagnetic field pretreatment of Sinapis alba seeds improved cadmium phytoextraction. Int J Phytoremediation. 2018;20(4):338-342. doi:10.1080/15226514.2017.1381943",,
Sinapis arvensis,Charlock Mustard,,Metal,Accumulator,Phytostabilization,"1) Saghi A, Rashed Mohassel MH, Parsa M, Hammami H. Phytoremediation of lead-contaminated soil by Sinapis arvensis and Rapistrum rugosum. Int J Phytoremediation. 2016;18(4):387-392. doi:10.1080/15226514.2015.1109607
 2) (Phyto Textbook) Perrino, E. V., Brunetti, G., and Farrag, K. 2013. Plant communities in multi-metal contaminated soils: a case study in the National Park of Alta Murgia (Apulia region-Southern Italy). International Journal of Phytoremediation 16, pp. 871-888.",,
Solanum nigrum,European Black Nightshade,,"Zinc, Cadmium","Accumulator/Tolerant, Hyperaccumulator",Phytoaccumulation,"1) Samardjieva KA, GonÃ§alves RF, ValentÃ£o P, et al. Zinc Accumulation and Tolerance in Solanum nigrum are Plant Growth Dependent. Int J Phytoremediation. 2015;17(1-6):272-279. doi:10.1080/15226514.2014.898018
 2) Hammami, Hossein, et al. â€œWeeds Ability to Phytoremediate Cadmium-Contaminated Soil.â€ International Journal of Phytoremediation, vol. 18, no. 1, 2015, pp. 48â€“53., doi:10.1080/15226514.2015.1058336.
 3) (Phyto Textbook) Wei, S., Clark, G., Doronila, A. I., Jin, J., and Monsant, A. C. 2012. Cd Hyperaccumulative Characteristics of Australia Ecotype Solanum Nigrum L. and Its Implication in Screening Hyperaccumulator. International Journal of Phytoremediation 15, pp. 199.205.",,
Solanum surattense,Solanum Surattense,,"Iron, Manganese, Copper, Lead, Chromium, Nickel, Cadmium",Accumulator,Phytostabilization,"Pandey SK, Bhattacharya T, Chakraborty S. Metal phytoremediation potential of naturally growing plants on fly ash dumpsite of Patratu thermal power station, Jharkhand, India. Int J Phytoremediation. 2016;18(1):87-93. doi:10.1080/15226514.2015.1064353",,
Solidago hispida,Hairy Golden Rod,,"Aluminum, Trichloroethylene (Tce) Â And By-Products","Hyperaccumulator, Accumulator",N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plan_species_phyto.pdf
 2) Grauer & Horst 1990; McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant_species_phyto.pdf pg 891",Some species shown to metabolize TCE. From Canada,
Sonchus transcaspicus,Sow Thistles,,"Nickel, Copper, Cadmium, Cobalt, Manganese, Lead, Chromium Zinc",Accumulator,Phytostabilization,"(Phyto Textbook) Lu, Y., Li, X., He, M., and Zeng, F. 2013. Behavior of native species Arrhenatherum elatius (Poaceae) and Sonchus transcaspicus (Asteraceae) exposed to a heavy metal polluted field: plant metal concentration phytotoxicity and detoxification responses. International Journal of Phytoremediation 15, pp. 924-937.",,
Sorghum bicolor,Broom-Corn,,Chromium,Accumulator/Tolerant,"Phytoaccumulation, Phytoextraction","1) (Phyto Textbook) Soudek, P., Petrova, S., Vankova, R., Song, J., and Vanek, T. 2014. Accumulation of heavy metals using Sorghum sp.. Chemosphere 104, pp. 15-24.
 2) Ariana Carramaschi Francato Zancheta, Cleide Aparecida De Abreu, Fernando CÃ©sar BachiegaZambrosi, Norma de MagalhÃ£es Erismann & Ana Maria MagalhÃ£es Andrade LagÃ´a (2015) Cadmium Accumulationby Jack-Bean and Sorghum in Hydroponic Culture, International Journal of Phytoremediation, 17:3, 298-303, DOI:10.1080/15226514.2014.883492 
 (6) (PDF) Cadmium Accumulation by Jack-Bean and Sorghum in Hydroponic Culture. Available from: https://www.researchgate.net/publication/268336638_Cadmium_Accumulation_by_Jack-Bean_and_Sorghum_in_Hydroponic_Culture [accessed Jun 25 2020].
 3) Padmapriya S, Murugan N, Ragavendran C, Thangabalu R, Natarajan D. Phytoremediation potential of some agricultural plants on heavy metal contaminated mine waste soils, salem district, tamilnadu. Int J Phytoremediation. 2016;18(3):288-294. doi:10.1080/15226514.",,
Sorghum halepense (L.),"Johnson Grass, Aleppo Grass",https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/70dc5f9b-d83d-4a80-a4fd-fd71d0088207/JohnsonGrassAleppoGrass.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Cesium, Copper, Hydrocarbons, Manganese, Nickel, Uranium, Zinc",Accumulator,Rhizodegradation,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. 
 2) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm (Aluminum source)
 3)http://www.flickr.com/photos/dok1/2717362677/(Photo Source)","Glomus mosseae as chelating agent (amendment). It increases the surface area of the plant roots, allowing roots to acquire more nutrients, and water, therefore more available radionuclides are found in soil solution.",
Sparganium eurycarpum,Common Bur-Reed,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/725d0f30-3a95-482a-8382-00bad36e542b/CommonBurreed.jpg?content-type=image%2Fjpeg,Lead,Accumulator,Rhizofiltration,"1) University of Minnesota Sustainable Urban Landscape Information Series. http://www.sustland.umn.edu/design/water4.html
 2) http://www.flickr.com/photos/ken-ichi/4813924127/"" (Photo Source)",Stimulates bacteria and inhibits other microbes flowering plant. Hardiness zone 5,
Solidago hispida,Hairy Golden Rod,,"Aluminum, Trichloroethylene (Tce) Â And By-Products","Hyperaccumulator, Accumulator",N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plan_species_phyto.pdf
 2) Grauer & Horst 1990; McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant_species_phyto.pdf pg 891",Some species shown to metabolize TCE. From Canada,
Spartina pectinata,Prairie Cord Grass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/c9bab88c-0a22-4ba8-9b6e-be12f6e510fe/PrairieCordGrass.jpg?content-type=image%2Fjpeg,"Cadmium, Copper, Nitrogen",N/A,N/A,"1) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 2) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 3) http://www.flickr.com/photos/plant_diversity/3918529194/ (Photo Source)
 4) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf","Qualities: It has a stiff stem and vigorous rhizomes that enable it to provide good shoreline cover. Growth Rate: Rapid, mature height of 8Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought Tolerance: Low. Moisture Use: High. Salinity Toleran",
Spartina foliosa,Cordgrass,,"Atrazine, Petroleum, Trichloroethylene (Tce) Â And By-Products",Accumulator of Tce/Petroleum/Atrazine,Rhizofiltration,1) http://www.jandcwaterworks.com/most-desirable-plants.htm,"Accumulator of TCE, Petroleum, and Atrazine. Emergent Height: 3-6 ft. Root Type: Fibrous Water Use: High Used to break down glfycol antifreeze and carbon dioxide into water. Hardiness zone 7",
Spinacia oleracea,Spinach,,20- Hydroxyecdysone,Accumulator/Tolerant,"Phytoextraction, Phytodesalination","1) Bareen FE, Saeed S, Afrasiab H. Differential mobilization and metal uptake versus leaching in multimetal soil columns using EDTA and three metal bioaccumulators. Int J Phytoremediation. 2017;19(12):1109-1117. doi:10.1080/15226514.2017.1328391
 2) Muchate NS, Rajurkar NS, Suprasanna P, Nikam TD. Evaluation of Spinacia oleracea (L.) for phytodesalination and augmented production of bioactive metabolite, 20-hydroxyecdysone. Int J Phytoremediation. 2018;20(10):981-994. doi:10.1080/15226514.2018.1452184",,
Spirea sp.,Neon Flash,,Petroleum,Tolerant,N/A,,Shrub. hardiness zones: 4 - 9,
Spirodela polyrhiza,Giant Duckweed,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/8f65c636-5aa8-4e58-8d36-175543ce4b76/GiantDuckweed.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Cadmium, Nitrate",Hyperaccumulator of Nitrate,Phytodegradation,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf. pg 898 (Aluminum, Arsenic, and Cadmium source)
 2) http://www.flickr.com/photos/dandelion-and-burdock/5970812605/(Photo Source)
 3) McCutcheon & Schnoor 2003, Phytoremediation. New Jersey, John Wiley & Sons pg 898, 891
 4) Movafeghi A, Khataee AR, Moradi Z, Vafaei F. Biodegradation of direct blue 129 diazo dye by Spirodela polyrrhiza: An artificial neural networks modeling. Int J Phytoremediation. 2016;18(4):337-347. doi:10.1080/15226514.2015.1109588","Hyperaccumulator of Nitrate. Used to reduce photoautotrophic algae, purifier. Native to North America.",
Stellaria calycantha,Northern Starwort,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/8ca799dc-9774-498a-8570-c9427fafdaea/NorthernStarwort.jpg?content-type=image%2Fjpeg,Cadmium,Accumulator,N/A,"1) Institute for Environmental Research and education (IERE). (2003 January). Vashon Heavy Metal Phytoremediation Study Sampling and Analysis Strategy (DRAFT). http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2)http://www.flickr.com/photos/7147684@N03/3815706193/ (Photo Source)",Low sprawling perennial. A number of varieties are common in the NW.,
Stellaria media,Chickweed,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/58d4bb73-ed50-4115-a513-1dd9d22c9ec7/Chickweed.jpg?content-type=image%2Fjpeg,Cesium,Accumulator,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 2) http://www.flickr.com/photos/pipdiddly/3614060837/ (Photo Source)",Grass or Forb species able to accumulate radionuclides. Hardiness zone 2-10.,
Stephanandra incisa,Laceshrub,,Particulate Matter,Accumulator,Phytoaccumulation,"(Phyto Textbook) Saebo, A., Popek, R., Nawrot, B., Hanslin, H., Gawronska, H. and Gawronski, S. 2013. Plant species differences in particulate matter accumulation on leaf surfaces. Science of the Total Envrionment 427, pp. 347-354.",,
Stipa austroitalica MartinovskÃ½ subsp. austroitalica,Grass,,Metal,,Phytostabilization,"(Phyto Textbook) Perrino, E. V., Brunetti, G., and Farrag, K. 2013. Plant communities in multi-metal contaminated soils: a case study in the National Park of Alta Murgia (Apulia region-Southern Italy). International Journal of Phytoremediation 16, pp. 871-888.",,
Strelitzia reginae,Bird Of Paradise,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zone 9-11,
Suaeda fruticosa,Shrubby Seablight,,Salinity,Hyperaccumulator,Phytoextraction,"Devi S, Nandwal AS, Angrish R, Arya SS, Kumar N, Sharma SK. Phytoremediation potential of some halophytic species for soil salinity. Int J Phytoremediation. 2016;18(7):693-696. doi:10.1080/15226514.2015.1131229",,
Suaeda nudiflora,Seepweeds,,Salinity,Accumulator,Phytoextraction,"Devi S, Nandwal AS, Angrish R, Arya SS, Kumar N, Sharma SK. Phytoremediation potential of some halophytic species for soil salinity. Int J Phytoremediation. 2016;18(7):693-696. doi:10.1080/15226514.2015.1131229",,
Tagetes minuta,"Upright Marigold, Southern Cone Marigold",,"Chromium, Nickel, Iron, Manganese, Cobalt, Copper, Zinc, Lead",Accumulator,Phytoextraction,"1) Nawab J, Khan S, Shah MT, Khan K, Huang Q, Ali R. Quantification of Heavy Metals in Mining Affected Soil and Their Bioaccumulation in Native Plant Species. Int J Phytoremediation. 2015;17(9):801-813. doi:10.1080/15226514.2014.981246
 2) Cid CV, Rodriguez JH, Salazar MJ, Blanco A, Pignata ML. Effects of co-cropping Bidens pilosa (L.) and Tagetes minuta (L.) on bioaccumulation of Pb in Lactuca sativa (L.) growing in polluted agricultural soils. Int J Phytoremediation. 2016;18(9):908-917. doi:10.1080/15226514.2016.1156636",,
Tagetes patula,"Marigold, French Marigold",,"Chromium, Copper, Cadmium",Accumulator,Phytoextraction,"1) Bareen FE, Saeed S, Afrasiab H. Differential mobilization and metal uptake versus leaching in multimetal soil columns using EDTA and three metal bioaccumulators. Int J Phytoremediation. 2017;19(12):1109-1117. doi:10.1080/15226514.2017.1328391
 2) Sun R, Sun Q, Wang R, Cao L. Cadmium accumulation and main rhizosphere characteristics of seven French marigold (Tagetes patula L.) cultivars. Int J Phytoremediation. 2018;20(12):1171-1178. doi:10.1080/15226514.2017.1375894",,
Tamarix spp.,Salt Cedar,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/e642c999-99fe-4893-bd1e-a668271cb171/SaltCedar.jpg?content-type=image%2Fjpeg,"Arsenic, Cadmium, Calcium, Copper, Lead, Manganese",N/A,N/A,"1) ITRC. 2004. Phytotechnologies Workshop. Harrisburg, PA. June 9-10, 2004.
 2) http://www.flickr.com/photos/judybaxter/168112542/(Photo Source)","Hydraulic control, high salinity. USDA hardiness zones 2 to 7",
Taraxacum officinale,Dandelion,,Cadmium,Accumulator,,"Hammami, Hossein, et al. â€œWeeds Ability to Phytoremediate Cadmium-Contaminated Soil.â€ International Journal of Phytoremediation, vol. 18, no. 1, 2015, pp. 48â€“53., doi:10.1080/15226514.2015.1058336.",,
Taraxacum ohwianum Kitam.,,,Cadmium,Hyperaccumulator,Phytostabilization,"Cheng H, Liu Q, Ma M, Liu Y, Wang W, Ning W. Cadmium tolerance, distribution, and accumulation in Taraxacum ohwianum Kitam. as a potential Cd-hyperaccumulator. Int J Phytoremediation. 2019;21(6):541-549. doi:10.1080/15226514.2018.1537240",,
Taxus baccata,English Yew,,Particulate Matter,Accumulator,Phytoaccumulation,"(Phyto Textbook) Saebo, A., Popek, R., Nawrot, B., Hanslin, H., Gawronska, H. and Gawronski, S. 2013. Plant species differences in particulate matter accumulation on leaf surfaces. Science of the Total Envrionment 427, pp. 347-354.",,
Taxus media,Anglojap Yew,,Particulate Matter,Accumulator,Phytoaccumulation,"(Phyto Textbook) Saebo, A., Popek, R., Nawrot, B., Hanslin, H., Gawronska, H. and Gawronski, S. 2013. Plant species differences in particulate matter accumulation on leaf surfaces. Science of the Total Envrionment 427, pp. 347-354.",,
Tecomaria capensis,Cape Honeysuckle,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Orange. Hardiness zone 9-11.,
Telfairia occidental,Fluted Pumpkin,,Chromium,Tolerant,Phytoextraction,"Padmapriya S, Murugan N, Ragavendran C, Thangabalu R, Natarajan D. Phytoremediation potential of some agricultural plants on heavy metal contaminated mine waste soils, salem district, tamilnadu. Int J Phytoremediation. 2016;18(3):288-294. doi:10.1080/15226514.2015.1085832",,
Thinopyrum intermedium ssp.,Oahe' Intermediate Wheatgrass,,"Cadmium, Zinc",N/A,"Phytostabilization, Phytoextraction","Oyler, J. Blue Mountain Superfund Remediation Project, Palmerton, PA. Powerpoint presentation. June 10, 2004. ITRC Phytotechnologies conference","Media type: manufactured soil (blend of treated municipal solids, power plant fly ash, and agricultural limestone)",
Thlaspi caerulescens,Alpine Pennycress,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/ed0d81da-00c0-4d57-955f-a83844abef37/AlpinePennycress.jpg?content-type=image%2Fjpeg,"Aluminum, Arsenic, Cadmium, Chromium, Cobalt, Copper, Lead, Nickel, Zinc",Hyperaccumulator,"Phytoextraction, Phytostabilization","1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. pg 891, 898. 
 2)Interstate Technologoy and Regulation Cooperation Work Group. Phytoremediation Decision Tree, ITRC. http://www.itrcweb.org/documents/phyto-1.pdf
 3) Oyler, J. Blue Mountain Superfund Remediation Project, Palmerton, PA.-Cadmium, Zinc
 4) PowerPoint presentation. June 10, 2004. ITRC Phytotechnologies conference. 
 5) http://www.flickr.com/photos/23882161@N03/3038231457/ (Photo Source)",Organic material. H-1500 milligrams per kilogram of dry weight. 1 recorded plant,
Thuja occidentalis,Rheingold Arborvitae,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Hardiness zones: 4 - 8,
Tilia coradata Mill.,Littleleaf Linden,,"Particulate Matter, Polycyclic Aromatic Hydrocarbons, Heavy Metals",Accumulator,Bioindicator,"Popek R, ?ukowski A, Bates C, Oleksyn J. Accumulation of particulate matter, heavy metals, and polycyclic aromatic hydrocarbons on the leaves of Tilia cordata Mill. in five Polish cities with different levels of air pollution. Int J Phytoremediation. 2017;19(12):1134-1141. doi:10.1080/15226514.2017.1328394",,
Trachelospermum asiaticum,Asian Jasmine,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Groundcover. Hardiness zones 7-11,
Tradescantia bracteata,Longbract Spiderwort,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/ca255f9f-e662-4a60-aaf8-3a9103da5504/LongbractSpiderwort.jpg?content-type=image%2Fjpeg,"Cesium, Cobalt, Plutonium, Strontium, Tritium, Uranium",Phytoindicator,N/A,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm 
 2) http://www.flickr.com/photos/rojabro/6385111425/(Photo Source)","Plant stamins turn pink when exposed to radionuclides. Plants will be used in various areas of the site to test for radionucludes in the soil. Acts an indicator for radionuclides because their stamens are usually blue or blue-purple in color, but when ex",
Trifolium repens,White Clover,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/8105ab0a-005d-4d1d-8ec7-dab8058e0ea3/WhiteClover.jpg?content-type=image%2Fjpeg,"Diesel Fuel, Hydrocarbons, Lead, Polychlorinated Biphenyl (Pcb), Polycyclic Aromatic Hydrocarbon (Pah)",Accumulator,Rhizodegradation,"1) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 2) http://www.flickr.com/photos/phil_sellens/3657219961/(Photo Source)
 3) Robison, Diana. Ã¢â‚¬Å“PHYTOREMEDIATION OF HYDROCARBON-CONTAMINATED SOIL.Ã¢â‚¬Â UniversityofSaskatchewan, 2003. Web. 18 Feb2011. <http://library2.usask.ca/theses/available/etd-12172008-092911/unre-stricted/Robson_Diana_Bizecki_2003.pdf>.","Grass or Forb species able to accumulate radionuclides. Introduced perennial herb, deep rooting, enhances microbial activity and degradation of PAHÃ¢â‚¬â„¢s. nitrogen fixer, and PCB metabolizer. Hardiness: USDA Zone 4a",
Triglochin striata,Streaked Arrow Grass,,Petroleum Hydrocarbons,Accumulator,Rhizoremediation,"(Phyto Textbook) Ribeiro, H., Almeida, C., Mucha, A., ad Bordalo, A. 2013. Influence of different salt marsh plants on hydrocarbon degrading microorganisms abundance throughout a phenological cycle. International Journal of Phytoremediation 15 (3), pp. 245-256.",,
Tripsacum dactyloides,Eastern Gamagrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/0b276b82-04af-4ad3-b770-29445c5689bb/EasternGamagrass.jpg?content-type=image%2Fjpeg,"Anthracene, Arsenic, Chloroform, Lead, Perchloroethylene (Pce), Polychlorinated Biphenyl (Pcb)",N/A,"Phytostabilization, Phytoextraction, Phytodegradation, Rhizodegradation","1) Negri, M.C., et al 2003 Root Development and Rooting at Depths, in S.C. McCutcheon and J.L. Schnoor, eds., Phytoremediation: Transformation and Control of Contaminants: Hoboken, NJ, John Wiley & Sons, Inc. p233-262, 912-913 Quinn, J.J., et al 200 Predicting the Effect of Deep-Rooted Hybrid Poplars on the Groundwater Flow System at a Phytoremediation Site: International Journal of Phytoremediation, vol. 3, no. 1, p. 41-60
 2) http://www.flickr.com/photos/plant_diversity/3921998862/(Photo Source)",TCE and PCE and breakdown products (trichloroacetic acid) were detected in branch tissue of trees planted in contaminated soil in less than a year. TCE and PCE present in trees down gradient of plume after 2 yrs. USDA Hardiness Zones. 6b to 8a.,
